index, timestamp, power.draw [W], clocks.current.sm [MHz], clocks.current.memory [MHz], clocks.current.graphics [MHz], fan.speed [%], utilization.gpu [%], utilization.memory [%], temperature.gpu, pstate, memory.total [MiB], memory.free [MiB], memory.used [MiB]
0, 2021/12/22 14:54:37.262, 40.98 W, 135 MHz, 877 MHz, 135 MHz, [N/A], 0 %, 0 %, 26, P0, 32510 MiB, 32510 MiB, 0 MiB
1, 2021/12/22 14:54:37.264, 40.01 W, 135 MHz, 877 MHz, 135 MHz, [N/A], 0 %, 0 %, 30, P0, 32510 MiB, 32510 MiB, 0 MiB
2, 2021/12/22 14:54:37.266, 41.01 W, 135 MHz, 877 MHz, 135 MHz, [N/A], 0 %, 0 %, 30, P0, 32510 MiB, 32510 MiB, 0 MiB
3, 2021/12/22 14:54:37.268, 40.01 W, 135 MHz, 877 MHz, 135 MHz, [N/A], 0 %, 0 %, 27, P0, 32510 MiB, 32510 MiB, 0 MiB
4, 2021/12/22 14:54:37.270, 41.44 W, 135 MHz, 877 MHz, 135 MHz, [N/A], 0 %, 0 %, 27, P0, 32510 MiB, 32510 MiB, 0 MiB
5, 2021/12/22 14:54:37.272, 41.47 W, 135 MHz, 877 MHz, 135 MHz, [N/A], 0 %, 0 %, 31, P0, 32510 MiB, 32510 MiB, 0 MiB
6, 2021/12/22 14:54:37.274, 41.95 W, 135 MHz, 877 MHz, 135 MHz, [N/A], 0 %, 0 %, 30, P0, 32510 MiB, 32510 MiB, 0 MiB
7, 2021/12/22 14:54:37.276, 40.47 W, 135 MHz, 877 MHz, 135 MHz, [N/A], 0 %, 0 %, 28, P0, 32510 MiB, 32510 MiB, 0 MiB
0, 2021/12/22 14:54:42.278, 40.98 W, 135 MHz, 877 MHz, 135 MHz, [N/A], 0 %, 0 %, 26, P0, 32510 MiB, 32510 MiB, 0 MiB
1, 2021/12/22 14:54:42.280, 40.01 W, 135 MHz, 877 MHz, 135 MHz, [N/A], 0 %, 0 %, 30, P0, 32510 MiB, 32510 MiB, 0 MiB
2, 2021/12/22 14:54:42.282, 41.01 W, 135 MHz, 877 MHz, 135 MHz, [N/A], 0 %, 0 %, 30, P0, 32510 MiB, 32510 MiB, 0 MiB
3, 2021/12/22 14:54:42.284, 40.01 W, 135 MHz, 877 MHz, 135 MHz, [N/A], 0 %, 0 %, 27, P0, 32510 MiB, 32510 MiB, 0 MiB
4, 2021/12/22 14:54:42.286, 41.44 W, 135 MHz, 877 MHz, 135 MHz, [N/A], 0 %, 0 %, 27, P0, 32510 MiB, 32510 MiB, 0 MiB
5, 2021/12/22 14:54:42.288, 41.47 W, 135 MHz, 877 MHz, 135 MHz, [N/A], 0 %, 0 %, 30, P0, 32510 MiB, 32510 MiB, 0 MiB
6, 2021/12/22 14:54:42.290, 41.95 W, 135 MHz, 877 MHz, 135 MHz, [N/A], 0 %, 0 %, 29, P0, 32510 MiB, 32510 MiB, 0 MiB
7, 2021/12/22 14:54:42.292, 40.47 W, 135 MHz, 877 MHz, 135 MHz, [N/A], 0 %, 0 %, 28, P0, 32510 MiB, 32510 MiB, 0 MiB
0, 2021/12/22 14:54:47.294, 40.98 W, 135 MHz, 877 MHz, 135 MHz, [N/A], 0 %, 0 %, 26, P0, 32510 MiB, 32510 MiB, 0 MiB
