index, timestamp, power.draw [W], clocks.current.sm [MHz], clocks.current.memory [MHz], clocks.current.graphics [MHz], fan.speed [%], utilization.gpu [%], utilization.memory [%], temperature.gpu, pstate, memory.total [MiB], memory.free [MiB], memory.used [MiB]
2, 2021/12/06 10:41:39.978, 53.63 W, 1290 MHz, 877 MHz, 1290 MHz, [N/A], 0 %, 0 %, 33, P0, 32510 MiB, 774 MiB, 31736 MiB
3, 2021/12/06 10:41:39.980, 53.10 W, 1290 MHz, 877 MHz, 1290 MHz, [N/A], 0 %, 0 %, 29, P0, 32510 MiB, 774 MiB, 31736 MiB
4, 2021/12/06 10:41:39.982, 64.24 W, 1530 MHz, 877 MHz, 1530 MHz, [N/A], 0 %, 0 %, 30, P0, 32510 MiB, 774 MiB, 31736 MiB
5, 2021/12/06 10:41:39.984, 55.53 W, 1290 MHz, 877 MHz, 1290 MHz, [N/A], 0 %, 0 %, 33, P0, 32510 MiB, 774 MiB, 31736 MiB
6, 2021/12/06 10:41:39.987, 54.56 W, 1290 MHz, 877 MHz, 1290 MHz, [N/A], 0 %, 0 %, 32, P0, 32510 MiB, 774 MiB, 31736 MiB
7, 2021/12/06 10:41:39.989, 57.93 W, 1425 MHz, 877 MHz, 1425 MHz, [N/A], 0 %, 0 %, 31, P0, 32510 MiB, 774 MiB, 31736 MiB
0, 2021/12/06 10:41:44.991, 57.93 W, 1425 MHz, 877 MHz, 1425 MHz, [N/A], 0 %, 0 %, 29, P0, 32510 MiB, 774 MiB, 31736 MiB
1, 2021/12/06 10:41:44.993, 53.59 W, 1290 MHz, 877 MHz, 1290 MHz, [N/A], 0 %, 0 %, 32, P0, 32510 MiB, 774 MiB, 31736 MiB
2, 2021/12/06 10:41:44.995, 53.63 W, 1290 MHz, 877 MHz, 1290 MHz, [N/A], 0 %, 0 %, 33, P0, 32510 MiB, 774 MiB, 31736 MiB
3, 2021/12/06 10:41:44.997, 53.10 W, 1290 MHz, 877 MHz, 1290 MHz, [N/A], 0 %, 0 %, 29, P0, 32510 MiB, 774 MiB, 31736 MiB
4, 2021/12/06 10:41:44.999, 64.24 W, 1530 MHz, 877 MHz, 1530 MHz, [N/A], 0 %, 0 %, 30, P0, 32510 MiB, 774 MiB, 31736 MiB
5, 2021/12/06 10:41:45.001, 55.53 W, 1290 MHz, 877 MHz, 1290 MHz, [N/A], 0 %, 0 %, 33, P0, 32510 MiB, 774 MiB, 31736 MiB
6, 2021/12/06 10:41:45.002, 54.56 W, 1290 MHz, 877 MHz, 1290 MHz, [N/A], 0 %, 0 %, 32, P0, 32510 MiB, 774 MiB, 31736 MiB
7, 2021/12/06 10:41:45.004, 57.93 W, 1425 MHz, 877 MHz, 1425 MHz, [N/A], 0 %, 0 %, 31, P0, 32510 MiB, 774 MiB, 31736 MiB
0, 2021/12/06 10:41:50.006, 57.93 W, 1425 MHz, 877 MHz, 1425 MHz, [N/A], 0 %, 0 %, 29, P0, 32510 MiB, 774 MiB, 31736 MiB
1, 2021/12/06 10:41:50.008, 53.10 W, 1290 MHz, 877 MHz, 1290 MHz, [N/A], 0 %, 0 %, 32, P0, 32510 MiB, 774 MiB, 31736 MiB
