index, timestamp, power.draw [W], clocks.current.sm [MHz], clocks.current.memory [MHz], clocks.current.graphics [MHz], fan.speed [%], utilization.gpu [%], utilization.memory [%], temperature.gpu, pstate, memory.total [MiB], memory.free [MiB], memory.used [MiB]
2, 2021/11/16 16:06:19.737, 71.09 W, 1530 MHz, 877 MHz, 1530 MHz, [N/A], 0 %, 0 %, 38, P0, 32510 MiB, 29850 MiB, 2660 MiB
3, 2021/11/16 16:06:19.739, 69.14 W, 1530 MHz, 877 MHz, 1530 MHz, [N/A], 2 %, 0 %, 32, P0, 32510 MiB, 29704 MiB, 2806 MiB
4, 2021/11/16 16:06:19.741, 68.08 W, 1530 MHz, 877 MHz, 1530 MHz, [N/A], 0 %, 0 %, 31, P0, 32510 MiB, 29054 MiB, 3456 MiB
5, 2021/11/16 16:06:19.743, 66.23 W, 1530 MHz, 877 MHz, 1530 MHz, [N/A], 0 %, 0 %, 35, P0, 32510 MiB, 29616 MiB, 2894 MiB
6, 2021/11/16 16:06:19.745, 55.05 W, 1290 MHz, 877 MHz, 1290 MHz, [N/A], 0 %, 0 %, 36, P0, 32510 MiB, 29664 MiB, 2846 MiB
7, 2021/11/16 16:06:19.746, 64.16 W, 1530 MHz, 877 MHz, 1530 MHz, [N/A], 0 %, 0 %, 31, P0, 32510 MiB, 29636 MiB, 2874 MiB
0, 2021/11/16 16:06:24.748, 68.04 W, 1530 MHz, 877 MHz, 1530 MHz, [N/A], 0 %, 0 %, 32, P0, 32510 MiB, 29748 MiB, 2762 MiB
1, 2021/11/16 16:06:24.751, 54.30 W, 1290 MHz, 877 MHz, 1290 MHz, [N/A], 0 %, 0 %, 35, P0, 32510 MiB, 29810 MiB, 2700 MiB
2, 2021/11/16 16:06:24.753, 69.07 W, 1530 MHz, 877 MHz, 1530 MHz, [N/A], 0 %, 0 %, 38, P0, 32510 MiB, 29850 MiB, 2660 MiB
3, 2021/11/16 16:06:24.755, 66.61 W, 1530 MHz, 877 MHz, 1530 MHz, [N/A], 0 %, 0 %, 32, P0, 32510 MiB, 29704 MiB, 2806 MiB
4, 2021/11/16 16:06:24.757, 66.52 W, 1530 MHz, 877 MHz, 1530 MHz, [N/A], 0 %, 0 %, 31, P0, 32510 MiB, 29054 MiB, 3456 MiB
5, 2021/11/16 16:06:24.762, 55.24 W, 1350 MHz, 877 MHz, 1350 MHz, [N/A], 0 %, 0 %, 35, P0, 32510 MiB, 29616 MiB, 2894 MiB
6, 2021/11/16 16:06:24.764, 65.58 W, 1530 MHz, 877 MHz, 1530 MHz, [N/A], 0 %, 0 %, 37, P0, 32510 MiB, 29664 MiB, 2846 MiB
7, 2021/11/16 16:06:24.766, 63.08 W, 1530 MHz, 877 MHz, 1530 MHz, [N/A], 0 %, 0 %, 31, P0, 32510 MiB, 29636 MiB, 2874 MiB
0, 2021/11/16 16:06:29.768, 70.95 W, 1530 MHz, 877 MHz, 1530 MHz, [N/A], 0 %, 0 %, 33, P0, 32510 MiB, 29748 MiB, 2762 MiB
1, 2021/11/16 16:06:29.770, 60.21 W, 1387 MHz, 877 MHz, 1387 MHz, [N/A], 20 %, 11 %, 35, P0, 32510 MiB, 29810 MiB, 2700 MiB
2, 2021/11/16 16:06:29.772, 70.99 W, 1530 MHz, 877 MHz, 1530 MHz, [N/A], 0 %, 0 %, 39, P0, 32510 MiB, 29850 MiB, 2660 MiB
3, 2021/11/16 16:06:29.774, 68.53 W, 1530 MHz, 877 MHz, 1530 MHz, [N/A], 0 %, 0 %, 32, P0, 32510 MiB, 29704 MiB, 2806 MiB
4, 2021/11/16 16:06:29.775, 60.13 W, 1387 MHz, 877 MHz, 1387 MHz, [N/A], 20 %, 10 %, 31, P0, 32510 MiB, 29054 MiB, 3456 MiB
5, 2021/11/16 16:06:29.778, 65.58 W, 1530 MHz, 877 MHz, 1530 MHz, [N/A], 7 %, 4 %, 36, P0, 32510 MiB, 29616 MiB, 2894 MiB
6, 2021/11/16 16:06:29.779, 66.57 W, 1530 MHz, 877 MHz, 1530 MHz, [N/A], 1 %, 0 %, 38, P0, 32510 MiB, 29664 MiB, 2846 MiB
7, 2021/11/16 16:06:29.781, 64.06 W, 1530 MHz, 877 MHz, 1530 MHz, [N/A], 20 %, 10 %, 31, P0, 32510 MiB, 29636 MiB, 2874 MiB
0, 2021/11/16 16:06:34.783, 152.39 W, 1530 MHz, 877 MHz, 1530 MHz, [N/A], 0 %, 0 %, 33, P0, 32510 MiB, 29748 MiB, 2762 MiB
1, 2021/11/16 16:06:34.785, 152.00 W, 1530 MHz, 877 MHz, 1530 MHz, [N/A], 2 %, 0 %, 35, P0, 32510 MiB, 29810 MiB, 2700 MiB
2, 2021/11/16 16:06:34.787, 192.17 W, 1530 MHz, 877 MHz, 1530 MHz, [N/A], 0 %, 0 %, 39, P0, 32510 MiB, 29850 MiB, 2660 MiB
3, 2021/11/16 16:06:34.789, 182.99 W, 1530 MHz, 877 MHz, 1530 MHz, [N/A], 0 %, 0 %, 32, P0, 32510 MiB, 29704 MiB, 2806 MiB
4, 2021/11/16 16:06:34.791, 166.64 W, 1387 MHz, 877 MHz, 1387 MHz, [N/A], 6 %, 3 %, 31, P0, 32510 MiB, 29054 MiB, 3456 MiB
5, 2021/11/16 16:06:34.793, 194.47 W, 1530 MHz, 877 MHz, 1530 MHz, [N/A], 0 %, 0 %, 35, P0, 32510 MiB, 29616 MiB, 2894 MiB
6, 2021/11/16 16:06:34.795, 226.40 W, 1530 MHz, 877 MHz, 1530 MHz, [N/A], 0 %, 0 %, 38, P0, 32510 MiB, 29664 MiB, 2846 MiB
7, 2021/11/16 16:06:34.796, 224.16 W, 1530 MHz, 877 MHz, 1530 MHz, [N/A], 0 %, 0 %, 32, P0, 32510 MiB, 29636 MiB, 2874 MiB
0, 2021/11/16 16:06:39.799, 68.00 W, 1530 MHz, 877 MHz, 1530 MHz, [N/A], 0 %, 0 %, 32, P0, 32510 MiB, 29748 MiB, 2762 MiB
1, 2021/11/16 16:06:39.801, 65.62 W, 1530 MHz, 877 MHz, 1530 MHz, [N/A], 0 %, 0 %, 35, P0, 32510 MiB, 29810 MiB, 2700 MiB
2, 2021/11/16 16:06:39.803, 69.03 W, 1530 MHz, 877 MHz, 1530 MHz, [N/A], 0 %, 0 %, 38, P0, 32510 MiB, 29850 MiB, 2660 MiB
3, 2021/11/16 16:06:39.805, 67.06 W, 1530 MHz, 877 MHz, 1530 MHz, [N/A], 0 %, 0 %, 32, P0, 32510 MiB, 29704 MiB, 2806 MiB
