index, timestamp, power.draw [W], clocks.current.sm [MHz], clocks.current.memory [MHz], clocks.current.graphics [MHz], fan.speed [%], utilization.gpu [%], utilization.memory [%], temperature.gpu, pstate,memory_total(MiB),memory_free(MiB),memory_used(MiB)
6, 2022/05/12 14:09:29.489, 41.95 W, 135 MHz, 877 MHz, 135 MHz, [N/A],0%,0%,30, P0,32510,32507,3
7, 2022/05/12 14:09:29.491, 40.47 W, 135 MHz, 877 MHz, 135 MHz, [N/A],0%,0%,28, P0,32510,32507,3
0, 2022/05/12 14:09:34.493, 54.08 W, 1290 MHz, 877 MHz, 1290 MHz, [N/A],1%,0%,27, P0,32510,31026,1484
1, 2022/05/12 14:09:34.495, 40.01 W, 135 MHz, 877 MHz, 135 MHz, [N/A],0%,0%,29, P0,32510,32507,3
2, 2022/05/12 14:09:34.497, 41.01 W, 135 MHz, 877 MHz, 135 MHz, [N/A],0%,0%,30, P0,32510,32507,3
3, 2022/05/12 14:09:34.499, 40.01 W, 135 MHz, 877 MHz, 135 MHz, [N/A],0%,0%,27, P0,32510,32507,3
4, 2022/05/12 14:09:34.501, 41.44 W, 135 MHz, 877 MHz, 135 MHz, [N/A],0%,0%,27, P0,32510,32507,3
5, 2022/05/12 14:09:34.503, 41.47 W, 135 MHz, 877 MHz, 135 MHz, [N/A],0%,0%,31, P0,32510,32507,3
6, 2022/05/12 14:09:34.505, 41.95 W, 135 MHz, 877 MHz, 135 MHz, [N/A],0%,0%,30, P0,32510,32507,3
7, 2022/05/12 14:09:34.507, 40.47 W, 135 MHz, 877 MHz, 135 MHz, [N/A],0%,0%,28, P0,32510,32507,3
0, 2022/05/12 14:09:39.511, 181.20 W, 1530 MHz, 877 MHz, 1530 MHz, [N/A],84%,41%,35, P0,32510,30530,1980
1, 2022/05/12 14:09:39.512, 39.93 W, 135 MHz, 877 MHz, 135 MHz, [N/A],0%,0%,29, P0,32510,32507,3
2, 2022/05/12 14:09:39.514, 40.98 W, 135 MHz, 877 MHz, 135 MHz, [N/A],0%,0%,30, P0,32510,32507,3
3, 2022/05/12 14:09:39.517, 39.98 W, 135 MHz, 877 MHz, 135 MHz, [N/A],0%,0%,27, P0,32510,32507,3
4, 2022/05/12 14:09:39.519, 41.44 W, 135 MHz, 877 MHz, 135 MHz, [N/A],0%,0%,27, P0,32510,32507,3
5, 2022/05/12 14:09:39.520, 41.92 W, 135 MHz, 877 MHz, 135 MHz, [N/A],0%,0%,31, P0,32510,32507,3
6, 2022/05/12 14:09:39.522, 41.95 W, 135 MHz, 877 MHz, 135 MHz, [N/A],0%,0%,30, P0,32510,32507,3
7, 2022/05/12 14:09:39.524, 40.44 W, 135 MHz, 877 MHz, 135 MHz, [N/A],0%,0%,28, P0,32510,32507,3
0, 2022/05/12 14:09:44.526, 176.47 W, 1530 MHz, 877 MHz, 1530 MHz, [N/A],84%,40%,36, P0,32510,30530,1980
1, 2022/05/12 14:09:44.528, 39.93 W, 135 MHz, 877 MHz, 135 MHz, [N/A],0%,0%,29, P0,32510,32507,3
2, 2022/05/12 14:09:44.530, 40.98 W, 135 MHz, 877 MHz, 135 MHz, [N/A],0%,0%,30, P0,32510,32507,3
3, 2022/05/12 14:09:44.532, 39.98 W, 135 MHz, 877 MHz, 135 MHz, [N/A],0%,0%,27, P0,32510,32507,3
4, 2022/05/12 14:09:44.534, 41.44 W, 135 MHz, 877 MHz, 135 MHz, [N/A],0%,0%,27, P0,32510,32507,3
5, 2022/05/12 14:09:44.536, 41.44 W, 135 MHz, 877 MHz, 135 MHz, [N/A],0%,0%,31, P0,32510,32507,3
6, 2022/05/12 14:09:44.537, 41.95 W, 135 MHz, 877 MHz, 135 MHz, [N/A],0%,0%,30, P0,32510,32507,3
7, 2022/05/12 14:09:44.539, 40.44 W, 135 MHz, 877 MHz, 135 MHz, [N/A],0%,0%,28, P0,32510,32507,3
0, 2022/05/12 14:09:49.541, 199.11 W, 1530 MHz, 877 MHz, 1530 MHz, [N/A],83%,40%,38, P0,32510,30530,1980
1, 2022/05/12 14:09:49.544, 39.93 W, 135 MHz, 877 MHz, 135 MHz, [N/A],0%,0%,29, P0,32510,32507,3
2, 2022/05/12 14:09:49.545, 40.98 W, 135 MHz, 877 MHz, 135 MHz, [N/A],0%,0%,30, P0,32510,32507,3
3, 2022/05/12 14:09:49.547, 39.98 W, 135 MHz, 877 MHz, 135 MHz, [N/A],0%,0%,27, P0,32510,32507,3
4, 2022/05/12 14:09:49.549, 41.44 W, 135 MHz, 877 MHz, 135 MHz, [N/A],0%,0%,27, P0,32510,32507,3
5, 2022/05/12 14:09:49.551, 41.44 W, 135 MHz, 877 MHz, 135 MHz, [N/A],0%,0%,31, P0,32510,32507,3
6, 2022/05/12 14:09:49.553, 41.95 W, 135 MHz, 877 MHz, 135 MHz, [N/A],0%,0%,30, P0,32510,32507,3
7, 2022/05/12 14:09:49.555, 40.44 W, 135 MHz, 877 MHz, 135 MHz, [N/A],0%,0%,28, P0,32510,32507,3
0, 2022/05/12 14:09:54.557, 173.45 W, 1530 MHz, 877 MHz, 1530 MHz, [N/A],84%,40%,39, P0,32510,30530,1980
1, 2022/05/12 14:09:54.559, 39.93 W, 135 MHz, 877 MHz, 135 MHz, [N/A],0%,0%,29, P0,32510,32507,3
2, 2022/05/12 14:09:54.562, 40.98 W, 135 MHz, 877 MHz, 135 MHz, [N/A],0%,0%,30, P0,32510,32507,3
3, 2022/05/12 14:09:54.564, 39.98 W, 135 MHz, 877 MHz, 135 MHz, [N/A],0%,0%,27, P0,32510,32507,3
4, 2022/05/12 14:09:54.566, 41.44 W, 135 MHz, 877 MHz, 135 MHz, [N/A],0%,0%,27, P0,32510,32507,3
5, 2022/05/12 14:09:54.567, 41.44 W, 135 MHz, 877 MHz, 135 MHz, [N/A],0%,0%,31, P0,32510,32507,3
6, 2022/05/12 14:09:54.569, 41.95 W, 135 MHz, 877 MHz, 135 MHz, [N/A],0%,0%,30, P0,32510,32507,3
7, 2022/05/12 14:09:54.571, 40.44 W, 135 MHz, 877 MHz, 135 MHz, [N/A],0%,0%,28, P0,32510,32507,3
0, 2022/05/12 14:09:59.573, 177.44 W, 1530 MHz, 877 MHz, 1530 MHz, [N/A],84%,41%,40, P0,32510,30530,1980
1, 2022/05/12 14:09:59.575, 39.95 W, 135 MHz, 877 MHz, 135 MHz, [N/A],0%,0%,29, P0,32510,32507,3
2, 2022/05/12 14:09:59.577, 40.98 W, 135 MHz, 877 MHz, 135 MHz, [N/A],0%,0%,30, P0,32510,32507,3
