index, timestamp, power.draw [W], clocks.current.sm [MHz], clocks.current.memory [MHz], clocks.current.graphics [MHz], fan.speed [%], utilization.gpu [%], utilization.memory [%], temperature.gpu, pstate, memory.total [MiB], memory.free [MiB], memory.used [MiB]
2, 2022/01/05 23:23:25.732, 41.49 W, 135 MHz, 877 MHz, 135 MHz, [N/A], 0 %, 0 %, 30, P0, 32510 MiB, 32510 MiB, 0 MiB
3, 2022/01/05 23:23:25.734, 40.01 W, 135 MHz, 877 MHz, 135 MHz, [N/A], 0 %, 0 %, 27, P0, 32510 MiB, 32510 MiB, 0 MiB
4, 2022/01/05 23:23:25.736, 41.44 W, 135 MHz, 877 MHz, 135 MHz, [N/A], 0 %, 0 %, 27, P0, 32510 MiB, 32510 MiB, 0 MiB
5, 2022/01/05 23:23:25.738, 41.95 W, 135 MHz, 877 MHz, 135 MHz, [N/A], 0 %, 0 %, 30, P0, 32510 MiB, 32510 MiB, 0 MiB
6, 2022/01/05 23:23:25.740, 42.44 W, 135 MHz, 877 MHz, 135 MHz, [N/A], 0 %, 0 %, 29, P0, 32510 MiB, 32510 MiB, 0 MiB
7, 2022/01/05 23:23:25.742, 40.95 W, 135 MHz, 877 MHz, 135 MHz, [N/A], 0 %, 0 %, 28, P0, 32510 MiB, 32510 MiB, 0 MiB
0, 2022/01/05 23:23:30.744, 71.04 W, 1530 MHz, 877 MHz, 1530 MHz, [N/A], 42 %, 7 %, 35, P0, 32510 MiB, 29512 MiB, 2998 MiB
1, 2022/01/05 23:23:30.746, 40.49 W, 135 MHz, 877 MHz, 135 MHz, [N/A], 0 %, 0 %, 32, P0, 32510 MiB, 32510 MiB, 0 MiB
2, 2022/01/05 23:23:30.748, 41.49 W, 135 MHz, 877 MHz, 135 MHz, [N/A], 0 %, 0 %, 30, P0, 32510 MiB, 32510 MiB, 0 MiB
3, 2022/01/05 23:23:30.750, 40.01 W, 135 MHz, 877 MHz, 135 MHz, [N/A], 0 %, 0 %, 27, P0, 32510 MiB, 32510 MiB, 0 MiB
4, 2022/01/05 23:23:30.751, 41.44 W, 135 MHz, 877 MHz, 135 MHz, [N/A], 0 %, 0 %, 27, P0, 32510 MiB, 32510 MiB, 0 MiB
5, 2022/01/05 23:23:30.753, 41.95 W, 135 MHz, 877 MHz, 135 MHz, [N/A], 0 %, 0 %, 30, P0, 32510 MiB, 32510 MiB, 0 MiB
6, 2022/01/05 23:23:30.755, 42.44 W, 135 MHz, 877 MHz, 135 MHz, [N/A], 0 %, 0 %, 29, P0, 32510 MiB, 32510 MiB, 0 MiB
7, 2022/01/05 23:23:30.757, 40.95 W, 135 MHz, 877 MHz, 135 MHz, [N/A], 0 %, 0 %, 28, P0, 32510 MiB, 32510 MiB, 0 MiB
0, 2022/01/05 23:23:35.759, 125.77 W, 1530 MHz, 877 MHz, 1530 MHz, [N/A], 42 %, 7 %, 35, P0, 32510 MiB, 29512 MiB, 2998 MiB
1, 2022/01/05 23:23:35.761, 40.47 W, 135 MHz, 877 MHz, 135 MHz, [N/A], 0 %, 0 %, 32, P0, 32510 MiB, 32510 MiB, 0 MiB
2, 2022/01/05 23:23:35.763, 41.49 W, 135 MHz, 877 MHz, 135 MHz, [N/A], 0 %, 0 %, 30, P0, 32510 MiB, 32510 MiB, 0 MiB
3, 2022/01/05 23:23:35.765, 39.98 W, 135 MHz, 877 MHz, 135 MHz, [N/A], 0 %, 0 %, 27, P0, 32510 MiB, 32510 MiB, 0 MiB
4, 2022/01/05 23:23:35.767, 41.44 W, 135 MHz, 877 MHz, 135 MHz, [N/A], 0 %, 0 %, 27, P0, 32510 MiB, 32510 MiB, 0 MiB
5, 2022/01/05 23:23:35.769, 41.92 W, 135 MHz, 877 MHz, 135 MHz, [N/A], 0 %, 0 %, 30, P0, 32510 MiB, 32510 MiB, 0 MiB
6, 2022/01/05 23:23:35.771, 42.44 W, 135 MHz, 877 MHz, 135 MHz, [N/A], 0 %, 0 %, 29, P0, 32510 MiB, 32510 MiB, 0 MiB
7, 2022/01/05 23:23:35.773, 40.95 W, 135 MHz, 877 MHz, 135 MHz, [N/A], 0 %, 0 %, 28, P0, 32510 MiB, 32510 MiB, 0 MiB
0, 2022/01/05 23:23:40.775, 76.87 W, 1530 MHz, 877 MHz, 1530 MHz, [N/A], 42 %, 5 %, 35, P0, 32510 MiB, 29512 MiB, 2998 MiB
1, 2022/01/05 23:23:40.777, 40.49 W, 135 MHz, 877 MHz, 135 MHz, [N/A], 0 %, 0 %, 32, P0, 32510 MiB, 32510 MiB, 0 MiB
2, 2022/01/05 23:23:40.779, 41.49 W, 135 MHz, 877 MHz, 135 MHz, [N/A], 0 %, 0 %, 30, P0, 32510 MiB, 32510 MiB, 0 MiB
3, 2022/01/05 23:23:40.780, 40.01 W, 135 MHz, 877 MHz, 135 MHz, [N/A], 0 %, 0 %, 27, P0, 32510 MiB, 32510 MiB, 0 MiB
4, 2022/01/05 23:23:40.782, 41.44 W, 135 MHz, 877 MHz, 135 MHz, [N/A], 0 %, 0 %, 27, P0, 32510 MiB, 32510 MiB, 0 MiB
5, 2022/01/05 23:23:40.784, 41.95 W, 135 MHz, 877 MHz, 135 MHz, [N/A], 0 %, 0 %, 30, P0, 32510 MiB, 32510 MiB, 0 MiB
6, 2022/01/05 23:23:40.786, 42.44 W, 135 MHz, 877 MHz, 135 MHz, [N/A], 0 %, 0 %, 29, P0, 32510 MiB, 32510 MiB, 0 MiB
7, 2022/01/05 23:23:40.788, 40.95 W, 135 MHz, 877 MHz, 135 MHz, [N/A], 0 %, 0 %, 28, P0, 32510 MiB, 32510 MiB, 0 MiB
0, 2022/01/05 23:23:45.790, 91.87 W, 1530 MHz, 877 MHz, 1530 MHz, [N/A], 40 %, 3 %, 34, P0, 32510 MiB, 29510 MiB, 3000 MiB
1, 2022/01/05 23:23:45.792, 40.47 W, 135 MHz, 877 MHz, 135 MHz, [N/A], 0 %, 0 %, 31, P0, 32510 MiB, 32510 MiB, 0 MiB
2, 2022/01/05 23:23:45.794, 41.49 W, 135 MHz, 877 MHz, 135 MHz, [N/A], 0 %, 0 %, 30, P0, 32510 MiB, 32510 MiB, 0 MiB
3, 2022/01/05 23:23:45.796, 40.01 W, 135 MHz, 877 MHz, 135 MHz, [N/A], 0 %, 0 %, 27, P0, 32510 MiB, 32510 MiB, 0 MiB
4, 2022/01/05 23:23:45.798, 41.44 W, 135 MHz, 877 MHz, 135 MHz, [N/A], 0 %, 0 %, 27, P0, 32510 MiB, 32510 MiB, 0 MiB
5, 2022/01/05 23:23:45.800, 41.92 W, 135 MHz, 877 MHz, 135 MHz, [N/A], 0 %, 0 %, 30, P0, 32510 MiB, 32510 MiB, 0 MiB
6, 2022/01/05 23:23:45.802, 42.44 W, 135 MHz, 877 MHz, 135 MHz, [N/A], 0 %, 0 %, 29, P0, 32510 MiB, 32510 MiB, 0 MiB
7, 2022/01/05 23:23:45.804, 40.92 W, 135 MHz, 877 MHz, 135 MHz, [N/A], 0 %, 0 %, 28, P0, 32510 MiB, 32510 MiB, 0 MiB
0, 2022/01/05 23:23:50.806, 67.16 W, 1530 MHz, 877 MHz, 1530 MHz, [N/A], 28 %, 2 %, 34, P0, 32510 MiB, 29510 MiB, 3000 MiB
1, 2022/01/05 23:23:50.808, 40.49 W, 135 MHz, 877 MHz, 135 MHz, [N/A], 0 %, 0 %, 31, P0, 32510 MiB, 32510 MiB, 0 MiB
2, 2022/01/05 23:23:50.810, 41.49 W, 135 MHz, 877 MHz, 135 MHz, [N/A], 0 %, 0 %, 30, P0, 32510 MiB, 32510 MiB, 0 MiB
3, 2022/01/05 23:23:50.811, 40.01 W, 135 MHz, 877 MHz, 135 MHz, [N/A], 0 %, 0 %, 27, P0, 32510 MiB, 32510 MiB, 0 MiB
4, 2022/01/05 23:23:50.813, 41.92 W, 135 MHz, 877 MHz, 135 MHz, [N/A], 0 %, 0 %, 27, P0, 32510 MiB, 32510 MiB, 0 MiB
5, 2022/01/05 23:23:50.815, 41.95 W, 135 MHz, 877 MHz, 135 MHz, [N/A], 0 %, 0 %, 30, P0, 32510 MiB, 32510 MiB, 0 MiB
6, 2022/01/05 23:23:50.817, 42.44 W, 135 MHz, 877 MHz, 135 MHz, [N/A], 0 %, 0 %, 29, P0, 32510 MiB, 32510 MiB, 0 MiB
7, 2022/01/05 23:23:50.819, 40.95 W, 135 MHz, 877 MHz, 135 MHz, [N/A], 0 %, 0 %, 28, P0, 32510 MiB, 32510 MiB, 0 MiB
0, 2022/01/05 23:23:55.821, 86.04 W, 1530 MHz, 877 MHz, 1530 MHz, [N/A], 42 %, 5 %, 34, P0, 32510 MiB, 29510 MiB, 3000 MiB
1, 2022/01/05 23:23:55.823, 40.47 W, 135 MHz, 877 MHz, 135 MHz, [N/A], 0 %, 0 %, 31, P0, 32510 MiB, 32510 MiB, 0 MiB
2, 2022/01/05 23:23:55.825, 41.47 W, 135 MHz, 877 MHz, 135 MHz, [N/A], 0 %, 0 %, 30, P0, 32510 MiB, 32510 MiB, 0 MiB
3, 2022/01/05 23:23:55.827, 40.01 W, 135 MHz, 877 MHz, 135 MHz, [N/A], 0 %, 0 %, 27, P0, 32510 MiB, 32510 MiB, 0 MiB
4, 2022/01/05 23:23:55.829, 41.92 W, 135 MHz, 877 MHz, 135 MHz, [N/A], 0 %, 0 %, 27, P0, 32510 MiB, 32510 MiB, 0 MiB
