index, timestamp, power.draw [W], clocks.current.sm [MHz], clocks.current.memory [MHz], clocks.current.graphics [MHz], fan.speed [%], utilization.gpu [%], utilization.memory [%], temperature.gpu, pstate, memory.total [MiB], memory.free [MiB], memory.used [MiB]
1, 2021/11/18 10:50:24.991, 53.59 W, 1290 MHz, 877 MHz, 1290 MHz, [N/A], 0 %, 0 %, 32, P0, 32510 MiB, 30396 MiB, 2114 MiB
2, 2021/11/18 10:50:24.993, 53.63 W, 1290 MHz, 877 MHz, 1290 MHz, [N/A], 0 %, 0 %, 34, P0, 32510 MiB, 30492 MiB, 2018 MiB
3, 2021/11/18 10:50:24.995, 53.10 W, 1290 MHz, 877 MHz, 1290 MHz, [N/A], 0 %, 0 %, 29, P0, 32510 MiB, 30236 MiB, 2274 MiB
4, 2021/11/18 10:50:24.997, 54.53 W, 1290 MHz, 877 MHz, 1290 MHz, [N/A], 0 %, 0 %, 29, P0, 32510 MiB, 30414 MiB, 2096 MiB
5, 2021/11/18 10:50:24.999, 56.02 W, 1290 MHz, 877 MHz, 1290 MHz, [N/A], 0 %, 0 %, 33, P0, 32510 MiB, 30402 MiB, 2108 MiB
6, 2021/11/18 10:50:25.001, 55.05 W, 1290 MHz, 877 MHz, 1290 MHz, [N/A], 0 %, 0 %, 32, P0, 32510 MiB, 30448 MiB, 2062 MiB
7, 2021/11/18 10:50:25.003, 53.56 W, 1290 MHz, 877 MHz, 1290 MHz, [N/A], 0 %, 0 %, 31, P0, 32510 MiB, 30476 MiB, 2034 MiB
0, 2021/11/18 10:50:30.005, 63.27 W, 1530 MHz, 877 MHz, 1530 MHz, [N/A], 0 %, 0 %, 30, P0, 32510 MiB, 29540 MiB, 2970 MiB
1, 2021/11/18 10:50:30.007, 53.59 W, 1290 MHz, 877 MHz, 1290 MHz, [N/A], 0 %, 0 %, 32, P0, 32510 MiB, 30396 MiB, 2114 MiB
2, 2021/11/18 10:50:30.008, 53.63 W, 1290 MHz, 877 MHz, 1290 MHz, [N/A], 0 %, 0 %, 34, P0, 32510 MiB, 30492 MiB, 2018 MiB
3, 2021/11/18 10:50:30.010, 53.10 W, 1290 MHz, 877 MHz, 1290 MHz, [N/A], 0 %, 0 %, 29, P0, 32510 MiB, 30236 MiB, 2274 MiB
4, 2021/11/18 10:50:30.012, 54.53 W, 1290 MHz, 877 MHz, 1290 MHz, [N/A], 0 %, 0 %, 29, P0, 32510 MiB, 30414 MiB, 2096 MiB
5, 2021/11/18 10:50:30.014, 56.02 W, 1290 MHz, 877 MHz, 1290 MHz, [N/A], 0 %, 0 %, 33, P0, 32510 MiB, 30402 MiB, 2108 MiB
6, 2021/11/18 10:50:30.016, 55.05 W, 1290 MHz, 877 MHz, 1290 MHz, [N/A], 0 %, 0 %, 32, P0, 32510 MiB, 30448 MiB, 2062 MiB
7, 2021/11/18 10:50:30.018, 53.56 W, 1290 MHz, 877 MHz, 1290 MHz, [N/A], 0 %, 0 %, 31, P0, 32510 MiB, 30476 MiB, 2034 MiB
0, 2021/11/18 10:50:35.021, 55.53 W, 1357 MHz, 877 MHz, 1357 MHz, [N/A], 42 %, 23 %, 30, P0, 32510 MiB, 29540 MiB, 2970 MiB
1, 2021/11/18 10:50:35.023, 53.59 W, 1290 MHz, 877 MHz, 1290 MHz, [N/A], 20 %, 6 %, 32, P0, 32510 MiB, 30396 MiB, 2114 MiB
2, 2021/11/18 10:50:35.025, 53.63 W, 1290 MHz, 877 MHz, 1290 MHz, [N/A], 24 %, 7 %, 34, P0, 32510 MiB, 30492 MiB, 2018 MiB
