index, timestamp, power.draw [W], clocks.current.sm [MHz], clocks.current.memory [MHz], clocks.current.graphics [MHz], fan.speed [%], utilization.gpu [%], utilization.memory [%], temperature.gpu, pstate, memory.total [MiB], memory.free [MiB], memory.used [MiB]
7, 2022/08/02 18:45:06.188, 40.43 W, 135 MHz, 877 MHz, 135 MHz, [N/A],0%,0%,25, P0, 32768 MiB, 32506 MiB, 3 MiB
0, 2022/08/02 18:45:11.190, 268.35 W, 1530 MHz, 877 MHz, 1530 MHz, [N/A],100%,63%,53, P0, 32768 MiB, 25359 MiB, 7150 MiB
1, 2022/08/02 18:45:11.191, 226.21 W, 1530 MHz, 877 MHz, 1530 MHz, [N/A],93%,53%,58, P0, 32768 MiB, 24497 MiB, 8012 MiB
2, 2022/08/02 18:45:11.193, 213.38 W, 1515 MHz, 877 MHz, 1515 MHz, [N/A],93%,54%,58, P0, 32768 MiB, 25997 MiB, 6512 MiB
3, 2022/08/02 18:45:11.195, 40.87 W, 135 MHz, 877 MHz, 135 MHz, [N/A],0%,0%,25, P0, 32768 MiB, 32506 MiB, 3 MiB
4, 2022/08/02 18:45:11.196, 39.94 W, 135 MHz, 877 MHz, 135 MHz, [N/A],0%,0%,25, P0, 32768 MiB, 32506 MiB, 3 MiB
5, 2022/08/02 18:45:11.199, 40.43 W, 135 MHz, 877 MHz, 135 MHz, [N/A],0%,0%,27, P0, 32768 MiB, 32506 MiB, 3 MiB
6, 2022/08/02 18:45:11.200, 41.41 W, 135 MHz, 877 MHz, 135 MHz, [N/A],0%,0%,28, P0, 32768 MiB, 32506 MiB, 3 MiB
7, 2022/08/02 18:45:11.202, 40.43 W, 135 MHz, 877 MHz, 135 MHz, [N/A],0%,0%,25, P0, 32768 MiB, 32506 MiB, 3 MiB
0, 2022/08/02 18:45:16.205, 265.73 W, 1530 MHz, 877 MHz, 1530 MHz, [N/A],99%,66%,52, P0, 32768 MiB, 25359 MiB, 7150 MiB
1, 2022/08/02 18:45:16.206, 237.45 W, 1530 MHz, 877 MHz, 1530 MHz, [N/A],94%,59%,58, P0, 32768 MiB, 24497 MiB, 8012 MiB
2, 2022/08/02 18:45:16.208, 229.40 W, 1530 MHz, 877 MHz, 1530 MHz, [N/A],93%,54%,58, P0, 32768 MiB, 25997 MiB, 6512 MiB
3, 2022/08/02 18:45:16.210, 40.87 W, 135 MHz, 877 MHz, 135 MHz, [N/A],0%,0%,25, P0, 32768 MiB, 32506 MiB, 3 MiB
4, 2022/08/02 18:45:16.211, 39.94 W, 135 MHz, 877 MHz, 135 MHz, [N/A],0%,0%,25, P0, 32768 MiB, 32506 MiB, 3 MiB
5, 2022/08/02 18:45:16.213, 40.43 W, 135 MHz, 877 MHz, 135 MHz, [N/A],0%,0%,27, P0, 32768 MiB, 32506 MiB, 3 MiB
6, 2022/08/02 18:45:16.215, 41.41 W, 135 MHz, 877 MHz, 135 MHz, [N/A],0%,0%,28, P0, 32768 MiB, 32506 MiB, 3 MiB
7, 2022/08/02 18:45:16.216, 40.43 W, 135 MHz, 877 MHz, 135 MHz, [N/A],0%,0%,25, P0, 32768 MiB, 32506 MiB, 3 MiB
0, 2022/08/02 18:45:21.218, 210.24 W, 1530 MHz, 877 MHz, 1530 MHz, [N/A],99%,62%,52, P0, 32768 MiB, 25359 MiB, 7150 MiB
1, 2022/08/02 18:45:21.221, 207.93 W, 1530 MHz, 877 MHz, 1530 MHz, [N/A],92%,55%,58, P0, 32768 MiB, 24497 MiB, 8012 MiB
2, 2022/08/02 18:45:21.222, 225.49 W, 1522 MHz, 877 MHz, 1522 MHz, [N/A],92%,53%,57, P0, 32768 MiB, 25997 MiB, 6512 MiB
3, 2022/08/02 18:45:21.224, 40.87 W, 135 MHz, 877 MHz, 135 MHz, [N/A],0%,0%,25, P0, 32768 MiB, 32506 MiB, 3 MiB
4, 2022/08/02 18:45:21.226, 39.94 W, 135 MHz, 877 MHz, 135 MHz, [N/A],0%,0%,25, P0, 32768 MiB, 32506 MiB, 3 MiB
5, 2022/08/02 18:45:21.227, 40.43 W, 135 MHz, 877 MHz, 135 MHz, [N/A],0%,0%,26, P0, 32768 MiB, 32506 MiB, 3 MiB
6, 2022/08/02 18:45:21.229, 41.41 W, 135 MHz, 877 MHz, 135 MHz, [N/A],0%,0%,28, P0, 32768 MiB, 32506 MiB, 3 MiB
7, 2022/08/02 18:45:21.231, 40.43 W, 135 MHz, 877 MHz, 135 MHz, [N/A],0%,0%,25, P0, 32768 MiB, 32506 MiB, 3 MiB
0, 2022/08/02 18:45:26.233, 284.55 W, 1530 MHz, 877 MHz, 1530 MHz, [N/A],99%,62%,52, P0, 32768 MiB, 25359 MiB, 7150 MiB
1, 2022/08/02 18:45:26.237, 262.18 W, 1530 MHz, 877 MHz, 1530 MHz, [N/A],93%,52%,58, P0, 32768 MiB, 24497 MiB, 8012 MiB
2, 2022/08/02 18:45:26.238, 291.73 W, 1522 MHz, 877 MHz, 1522 MHz, [N/A],93%,52%,58, P0, 32768 MiB, 25997 MiB, 6512 MiB
3, 2022/08/02 18:45:26.240, 40.81 W, 135 MHz, 877 MHz, 135 MHz, [N/A],0%,0%,25, P0, 32768 MiB, 32506 MiB, 3 MiB
4, 2022/08/02 18:45:26.242, 39.91 W, 135 MHz, 877 MHz, 135 MHz, [N/A],0%,0%,25, P0, 32768 MiB, 32506 MiB, 3 MiB
